conversation_id,domain,n_turns,n_changes,n_transitions,drift_score,emotions
art_3_10,art,20,15,19,0.7894736842105263,"['excited', 'excited', 'happy', 'proud', 'proud', 'enthusiastic', 'enthusiastic', 'curious', 'hopeful', 'surprised', 'excited', 'amused', 'amused', 'excited', 'happy', 'surprised', 'excited', 'amused', 'curious', 'happy']"
art_40_8,art,16,10,15,0.6666666666666666,"['amused', 'amused', 'curious', 'happy', 'amused', 'amused', 'happy', 'curious', 'curious', 'amused', 'amused', 'curious', 'happy', 'amused', 'amused', 'curious']"
art_45_9,art,9,8,8,1.0,"['proud', 'enthusiastic', 'curious', 'enthusiastic', 'curious', 'amused', 'happy', 'proud', 'enthusiastic']"
art_4_10,art,20,17,19,0.8947368421052632,"['enthusiastic', 'hopeful', 'hopeful', 'happy', 'excited', 'amused', 'proud', 'excited', 'enthusiastic', 'happy', 'curious', 'proud', 'excited', 'enthusiastic', 'curious', 'excited', 'excited', 'amused', 'enthusiastic', 'curious']"
art_54_8,art,8,7,7,1.0,"['excited', 'curious', 'amused', 'happy', 'enthusiastic', 'happy', 'amused', 'excited']"
art_62_8,art,8,7,7,1.0,"['hopeful', 'happy', 'proud', 'enthusiastic', 'excited', 'amused', 'excited', 'proud']"
art_69_8,art,16,13,15,0.8666666666666667,"['excited', 'happy', 'enthusiastic', 'proud', 'happy', 'enthusiastic', 'enthusiastic', 'excited', 'excited', 'proud', 'amused', 'enthusiastic', 'relaxed', 'proud', 'nostalgic', 'enthusiastic']"
art_6_10,art,20,16,19,0.8421052631578947,"['happy', 'enthusiastic', 'proud', 'hopeful', 'grateful', 'excited', 'hopeful', 'enthusiastic', 'curious', 'excited', 'excited', 'amused', 'curious', 'excited', 'excited', 'happy', 'enthusiastic', 'excited', 'excited', 'enthusiastic']"
art_70_10,art,10,9,9,1.0,"['proud', 'happy', 'amused', 'excited', 'curious', 'excited', 'amused', 'curious', 'amused', 'happy']"
art_73_8,art,8,7,7,1.0,"['amused', 'happy', 'enthusiastic', 'happy', 'relaxed', 'hopeful', 'happy', 'curious']"
art_75_8,art,16,12,15,0.8,"['excited', 'curious', 'happy', 'excited', 'amused', 'proud', 'curious', 'enthusiastic', 'enthusiastic', 'proud', 'proud', 'excited', 'excited', 'amused', 'proud', 'happy']"
art_76_9,art,9,8,8,1.0,"['enthusiastic', 'hopeful', 'grateful', 'proud', 'enthusiastic', 'happy', 'proud', 'excited', 'enthusiastic']"
